Country,Year,Happiness Score,Happiness Rank,Freedom,Generosity,GDP per capita,Health (Life Expectancy),Trust (Government Corruption)
Lithuania,2019,6.149,42,0.291,0.043,1.238,0.818,0.042
Colombia,2019,6.125,43,0.47,0.099,0.985,0.841,0.034
Slovenia,2019,6.118,44,0.564,0.144,1.258,0.953,0.057
Nicaragua,2019,6.105,45,0.435,0.2,0.694,0.835,0.127
Kosovo,2019,6.1,46,0.489,0.262,0.882,0.758,0.006
Argentina,2019,6.086,47,0.471,0.066,1.092,0.881,0.05
Romania,2019,6.07,48,0.462,0.083,1.162,0.825,0.005
Cyprus,2019,6.046,49,0.406,0.19,1.263,1.042,0.041
Ecuador,2019,6.028,50,0.498,0.126,0.912,0.868,0.087
Kuwait,2019,6.021,51,0.493,0.142,1.5,0.808,0.097
Thailand,2019,6.008,52,0.557,0.359,1.05,0.828,0.028
Latvia,2019,5.94,53,0.264,0.075,1.187,0.812,0.064
South Korea,2019,5.895,54,0.159,0.175,1.301,1.036,0.056
Estonia,2019,5.893,55,0.495,0.103,1.237,0.874,0.161
Jamaica,2019,5.89,56,0.49,0.107,0.831,0.831,0.028
Mauritius,2019,5.888,57,0.498,0.215,1.12,0.798,0.06
Japan,2019,5.886,58,0.445,0.069,1.327,1.088,0.14
Honduras,2019,5.86,59,0.507,0.246,0.642,0.828,0.078
Kazakhstan,2019,5.809,60,0.41,0.146,1.173,0.729,0.096
Bolivia,2019,5.779,61,0.511,0.137,0.776,0.706,0.064
Hungary,2019,5.758,62,0.199,0.081,1.201,0.828,0.02
Paraguay,2019,5.743,63,0.514,0.184,0.855,0.777,0.08
Northern Cyprus,2019,5.718,64,0.417,0.191,1.263,1.042,0.162
Peru,2019,5.697,65,0.455,0.083,0.96,0.854,0.027
Portugal,2019,5.693,66,0.508,0.047,1.221,0.999,0.025
Pakistan,2019,5.653,67,0.313,0.22,0.677,0.535,0.098
Russia,2019,5.648,68,0.334,0.082,1.183,0.726,0.031
Philippines,2019,5.631,69,0.558,0.117,0.807,0.657,0.107
Serbia,2019,5.603,70,0.282,0.137,1.004,0.854,0.039
Moldova,2019,5.529,71,0.245,0.181,0.685,0.739,0.0
Libya,2019,5.525,72,0.416,0.133,1.044,0.673,0.152
Montenegro,2019,5.523,73,0.197,0.142,1.051,0.871,0.08
Tajikistan,2019,5.467,74,0.389,0.23,0.493,0.718,0.144
Croatia,2019,5.432,75,0.296,0.119,1.155,0.914,0.022
Hong Kong,2019,5.43,76,0.44,0.258,1.438,1.122,0.287
Dominican Republic,2019,5.425,77,0.497,0.113,1.015,0.779,0.101
Bosnia and Herzegovina,2019,5.386,78,0.212,0.263,0.945,0.845,0.006
Turkey,2019,5.373,79,0.195,0.083,1.183,0.808,0.106
Malaysia,2019,5.339,80,0.508,0.26,1.221,0.828,0.024
Belarus,2019,5.323,81,0.235,0.094,1.067,0.789,0.142
Greece,2019,5.287,82,0.067,0.0,1.181,0.999,0.034
Mongolia,2019,5.285,83,0.317,0.235,0.948,0.667,0.038
North Macedonia,2019,5.274,84,0.345,0.185,0.983,0.838,0.034
Nigeria,2019,5.265,85,0.426,0.215,0.696,0.245,0.041
Kyrgyzstan,2019,5.261,86,0.508,0.3,0.551,0.723,0.023
Turkmenistan,2019,5.247,87,0.394,0.244,1.052,0.657,0.028
Algeria,2019,5.211,88,0.086,0.073,1.002,0.785,0.114
Morocco,2019,5.208,89,0.418,0.036,0.801,0.782,0.076
Azerbaijan,2019,5.208,90,0.351,0.035,1.043,0.769,0.182
Lebanon,2019,5.197,91,0.216,0.166,0.987,0.815,0.027
Indonesia,2019,5.192,92,0.491,0.498,0.931,0.66,0.028
China,2019,5.191,93,0.521,0.058,1.029,0.893,0.1
Vietnam,2019,5.175,94,0.543,0.147,0.741,0.851,0.073
Bhutan,2019,5.082,95,0.457,0.37,0.813,0.604,0.167
Cameroon,2019,5.044,96,0.381,0.187,0.549,0.331,0.037
Bulgaria,2019,5.011,97,0.311,0.081,1.092,0.815,0.004
Ghana,2019,4.996,98,0.381,0.245,0.611,0.486,0.04
Ivory Coast,2019,4.944,99,0.352,0.154,0.569,0.232,0.09
Nepal,2019,4.913,100,0.439,0.285,0.446,0.677,0.089
Jordan,2019,4.906,101,0.383,0.11,0.837,0.815,0.13
Benin,2019,4.883,102,0.349,0.175,0.393,0.397,0.082
Congo (Brazzaville),2019,4.812,103,0.372,0.105,0.673,0.508,0.093
Gabon,2019,4.799,104,0.295,0.043,1.057,0.571,0.055
South Africa,2019,4.722,106,0.389,0.13,0.96,0.469,0.055
Albania,2019,4.719,107,0.383,0.178,0.947,0.874,0.027
Venezuela,2019,4.707,108,0.154,0.064,0.96,0.805,0.047
Cambodia,2019,4.7,109,0.609,0.232,0.574,0.637,0.062
Palestinian Territories,2019,4.696,110,0.225,0.103,0.657,0.672,0.066
Senegal,2019,4.681,111,0.292,0.153,0.45,0.571,0.072
Niger,2019,4.628,114,0.318,0.188,0.138,0.366,0.102
Burkina Faso,2019,4.587,115,0.255,0.177,0.331,0.38,0.113
Armenia,2019,4.559,116,0.283,0.095,0.85,0.815,0.064
Iran,2019,4.548,117,0.305,0.27,1.1,0.785,0.125
Guinea,2019,4.534,118,0.332,0.207,0.38,0.375,0.086
Georgia,2019,4.519,119,0.346,0.043,0.886,0.752,0.164
Kenya,2019,4.509,121,0.431,0.372,0.512,0.581,0.053
Mauritania,2019,4.49,122,0.066,0.106,0.57,0.489,0.088
Tunisia,2019,4.461,124,0.167,0.059,0.921,0.815,0.055
Bangladesh,2019,4.456,125,0.527,0.166,0.562,0.723,0.143
Iraq,2019,4.437,126,0.241,0.148,1.043,0.574,0.089
Congo (Kinshasa),2019,4.418,127,0.269,0.212,0.094,0.357,0.053
Mali,2019,4.39,128,0.327,0.153,0.385,0.308,0.052
Sierra Leone,2019,4.374,129,0.309,0.252,0.268,0.242,0.045
Sri Lanka,2019,4.366,130,0.47,0.244,0.949,0.831,0.047
Myanmar,2019,4.36,131,0.525,0.566,0.71,0.555,0.172
Chad,2019,4.35,132,0.174,0.198,0.35,0.192,0.078
Ukraine,2019,4.332,133,0.178,0.187,0.82,0.739,0.01
Ethiopia,2019,4.286,134,0.344,0.209,0.336,0.532,0.1
Uganda,2019,4.189,136,0.356,0.252,0.332,0.443,0.06
Egypt,2019,4.166,137,0.241,0.076,0.913,0.644,0.067
Zambia,2019,4.107,138,0.431,0.247,0.578,0.426,0.087
Togo,2019,4.085,139,0.293,0.177,0.275,0.41,0.085
India,2019,4.015,140,0.498,0.2,0.755,0.588,0.085
Liberia,2019,3.975,141,0.37,0.233,0.073,0.443,0.033
Madagascar,2019,3.933,143,0.148,0.169,0.274,0.555,0.041
Burundi,2019,3.775,145,0.22,0.176,0.046,0.38,0.18
Zimbabwe,2019,3.663,146,0.361,0.151,0.366,0.433,0.089
Haiti,2019,3.597,147,0.026,0.419,0.323,0.449,0.11
Botswana,2019,3.488,148,0.455,0.025,1.041,0.538,0.1
Syria,2019,3.462,149,0.013,0.331,0.619,0.44,0.141
Malawi,2019,3.41,150,0.443,0.218,0.191,0.495,0.089
Yemen,2019,3.38,151,0.143,0.108,0.287,0.463,0.077
Rwanda,2019,3.334,152,0.555,0.217,0.359,0.614,0.411
Tanzania,2019,3.231,153,0.417,0.276,0.476,0.499,0.147
Afghanistan,2019,3.203,154,0.0,0.158,0.35,0.361,0.025
